Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw
S1008007_R.JPG,33.014088,-87.63959,142.421005,-2.686612,-89.997333,241.159279
S1008010_R.JPG,33.014028,-87.63972,142.334,-1.58191,-89.997447,240.706315
S1008013_R.JPG,33.013968,-87.639849,142.522995,-4.218251,-89.994777,240.54018
S1008016_R.JPG,33.013908,-87.639974,142.634995,-3.984582,-89.99629,240.336079
S1008019_R.JPG,33.013849,-87.640102,142.807007,-0.234778,-89.991532,240.194334
S1008022_R.JPG,33.01379,-87.640231,142.884003,-3.793467,-89.988815,240.345895
S1008025_R.JPG,33.013731,-87.640357,142.554001,-4.046656,-89.990833,240.82681
S1008028_R.JPG,33.01367,-87.640484,142.559006,-3.475322,-89.986034,240.502195
S1008031_R.JPG,33.01361,-87.640612,142.701996,-1.281379,-89.994593,240.219942
S1008034_R.JPG,33.01355,-87.640741,142.886002,-3.286965,-89.99774,240.262888
S1008037_R.JPG,33.013491,-87.640869,142.893005,-0.808669,-89.97997,240.138725
S1008040_R.JPG,33.01364,-87.640976,142.371002,16.422862,-89.994827,60.538847
S1008043_R.JPG,33.013703,-87.640852,142.785995,-0.179341,-89.994188,60.980496
S1008046_R.JPG,33.013763,-87.640724,143.289993,2.51812,-89.996199,60.936271
S1008049_R.JPG,33.013824,-87.640596,143.367996,4.727072,-89.992104,60.99587
S1008052_R.JPG,33.013883,-87.640467,143.089005,3.343462,-89.986897,61.028233
