Source,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,ImageWidth,ImageHeight
S1008029.JPG,33.01361,-87.640614,142.869003,-3.773518,-89.996949,240.976275,8192,6144
S1008032.JPG,33.01355,-87.640742,142.992004,-4.386776,-89.994835,240.946244,8192,6144
S1008035.JPG,33.013491,-87.64087,143.014999,-4.55141,-89.986209,240.357877,8192,6144
S1008038.JPG,33.013642,-87.640977,142.287003,11.65341,-89.994817,60.654301,8192,6144
S1008041.JPG,33.013703,-87.640852,142.813995,2.932319,-89.990979,61.435188,8192,6144
S1008044.JPG,33.013763,-87.640725,143.270996,3.739177,-89.996504,61.038327,8192,6144
S1008047.JPG,33.013823,-87.640596,143.313995,3.780964,-89.992932,60.904054,8192,6144
S1008050.JPG,33.013883,-87.640467,143.054993,4.557006,-89.992725,60.793752,8192,6144
S1008053.JPG,33.013944,-87.640339,142.871002,7.29212,-89.989548,60.749885,8192,6144
S1008056.JPG,33.014003,-87.64021,142.903,2.048191,-89.997221,60.763875,8192,6144
S1008059.JPG,33.014063,-87.640082,143.009995,2.843936,-89.992811,60.719058,8192,6144
S1008062.JPG,33.014123,-87.639953,142.869003,0.532807,-89.989629,60.725992,8192,6144
S1008065.JPG,33.014183,-87.639825,142.628998,4.611152,-89.994157,60.598919,8192,6144
S1008068.JPG,33.014243,-87.639696,142.800003,4.469737,-89.982745,60.415397,8192,6144
S1008071.JPG,33.014302,-87.639568,142.919006,3.70398,-89.989699,60.74291,8192,6144
S1008074.JPG,33.014459,-87.639664,142.671997,-16.026974,-89.999078,240.821185,8192,6144
S1008077.JPG,33.014403,-87.639793,142.139999,-2.255724,-89.992268,240.649752,8192,6144
S1008080.JPG,33.014342,-87.639922,142.223007,-3.98531,-89.998036,241.071955,8192,6144
S1008083.JPG,33.014282,-87.640051,142.257996,-4.446934,-89.991375,241.367411,8192,6144
S1008086.JPG,33.014223,-87.640179,142.423004,-3.127906,-89.989276,241.150938,8192,6144
S1008089.JPG,33.014163,-87.640308,142.492996,-6.833809,-89.996771,241.795326,8192,6144
S1008092.JPG,33.014102,-87.640437,142.468002,-2.810922,-89.994514,241.446011,8192,6144
S1008095.JPG,33.014042,-87.640566,142.384995,-5.006147,-89.996697,241.420992,8192,6144
S1008098.JPG,33.013981,-87.640695,142.546005,-1.188349,-89.994144,240.653487,8192,6144
S1008101.JPG,33.013921,-87.640824,142.817001,-0.95048,-89.996853,241.014388,8192,6144
S1008104.JPG,33.013861,-87.640953,143.052002,1.606629,-89.995596,241.200714,8192,6144
S1008107.JPG,33.013801,-87.641082,143.106995,-2.130263,-89.992622,240.91303,8192,6144
S1008110.JPG,33.013952,-87.641189,143.011002,11.097574,-89.993736,60.651568,8192,6144
S1008113.JPG,33.014014,-87.641064,142.959,1.582627,-89.996949,60.678257,8192,6144
S1008116.JPG,33.014074,-87.640934,142.830994,0.959301,-89.997804,60.888132,8192,6144
S1008119.JPG,33.014135,-87.640804,142.649994,-0.917294,-89.995842,61.37716,8192,6144
S1008122.JPG,33.014196,-87.640674,142.682999,-2.632157,-89.994456,61.097888,8192,6144
S1008125.JPG,33.014256,-87.640544,142.677994,-1.148555,-89.996962,60.8559,8192,6144
S1008128.JPG,33.014317,-87.640415,142.899994,1.021195,-89.998516,61.121599,8192,6144
S1008131.JPG,33.014378,-87.640285,143.016998,0.394719,-89.997414,60.848579,8192,6144
S1008134.JPG,33.014438,-87.640155,143.031998,0.727324,-89.999227,60.756141,8192,6144
S1008137.JPG,33.014499,-87.640025,142.869003,1.446392,-89.989536,60.943339,8192,6144
S1008140.JPG,33.014559,-87.639896,142.837997,1.493668,-89.997325,60.76276,8192,6144
S1008143.JPG,33.01462,-87.639766,142.740997,2.166517,-89.991858,60.753281,8192,6144
S1008146.JPG,33.014777,-87.639862,142.697998,-13.723372,-89.999206,240.889492,8192,6144
S1008149.JPG,33.01472,-87.639992,142.779007,-2.548646,-89.995608,241.335222,8192,6144
S1008152.JPG,33.014659,-87.640122,142.826996,-5.917111,-89.995068,242.259091,8192,6144
S1008155.JPG,33.014598,-87.640252,143.199997,-3.340488,-89.980448,240.128427,8192,6144
S1008158.JPG,33.014537,-87.640381,143.126007,-1.882645,-89.996029,241.107202,8192,6144
S1008161.JPG,33.014476,-87.640512,143.231003,0.193284,-89.994128,240.792197,8192,6144
S1008164.JPG,33.014416,-87.640643,143.362,-5.444994,-89.995012,243.231531,8192,6144
S1008167.JPG,33.014356,-87.640772,143.337006,-4.042302,-89.996069,241.675433,8192,6144
